技能ID,图标位置,技能名称,类型分类,技能稀有度,主动/被动,适用佣兵稀有度,触发方式,目标类型,招募界面说明,效果描述,数值公式,冷却(s),持续时间(s),作用范围,程序资源名,代码枚举,图标文件,备注
SK011,绿1,治愈之光,恢复,普通,主动,普通及以上,自动释放,我方单体,恢复我方单体生命值,恢复单个队友生命,攻击 × 180%,8,—,单体,icon_skill_zhi_yu_zhi_guang,SKILL_ZhiYuZhiGuang,SK011.png,治疗量受攻击加成
SK012,绿2,自愈,恢复,普通,被动,普通及以上,常驻,自身,战斗中持续恢复自身生命,战斗中每秒恢复自身生命,每秒生命上限 × 1%,—,—,自身,icon_skill_zi_yu,SKILL_ZiYu,SK012.png,
SK013,绿3,净化之光,恢复,稀有,主动,稀有及以上,自动释放,我方单体,恢复生命并移除负面状态,恢复单个队友生命，并移除一个负面状态,攻击 × 130%,12,—,单体,icon_skill_jing_hua_zhi_guang,SKILL_JingHuaZhiGuang,SK013.png,优先移除控制/减益
SK014,绿4,生命绽放,恢复,稀有,被动,稀有及以上,治疗触发,友方单体,治疗附加持续恢复,施放治疗时，目标额外获得持续恢复效果,3 秒内每秒攻击 × 30%,—,3,单体,icon_skill_sheng_ming_zhan_fang,SKILL_ShengMingZhanFang,SK014.png,
SK015,绿5,群体治愈,恢复,传奇,主动,传奇,自动释放,我方全体,恢复我方全体生命值,恢复全体队友生命,攻击 × 120%,18,—,全体,icon_skill_qun_ti_zhi_yu,SKILL_QunTiZhiYu,SK015.png,传奇群体治疗
SK016,紫1,裂隙冲击,法术,普通,主动,普通及以上,自动释放,敌方全体,对敌方全体造成魔法伤害,对所有敌人造成魔法伤害,攻击 × 100%,12,—,全体,icon_skill_lie_xi_chong_ji,SKILL_LieXiChongJi,SK016.png,
SK017,紫2,魔力涌动,法术,普通,被动,普通及以上,常驻,自身,提升魔法伤害,魔法类型伤害提升,魔法伤害 +15%,—,—,自身,icon_skill_mo_li_yong_dong,SKILL_MoLiYongDong,SK017.png,仅加成伤害类型为魔法的技能
SK018,紫3,恐惧凝视,法术,稀有,主动,稀有及以上,自动释放,敌方单体,降低敌方单体攻击力,降低目标攻击力,目标攻击 -20%,15,8,单体,icon_skill_kong_ju_ning_shi,SKILL_KongJuNingShi,SK018.png,减益效果
SK019,紫4,破甲侵蚀,法术,稀有,被动,稀有及以上,攻击触发,敌方单体,攻击降低目标防御,攻击命中时降低目标防御,防御 -10%，持续 5 秒，可叠加 3 层,—,5,单体,icon_skill_po_jia_qin_shi,SKILL_PoJiaQinShi,SK019.png,叠加上限 3 层
SK020,紫5,死亡诅咒,法术,传奇,主动,传奇,自动释放,敌方单体及周围,对目标造成持续伤害，死亡时爆炸,对目标施加持续魔法伤害；若目标在持续期间死亡，对周围造成爆炸伤害,每秒攻击 × 60% + 死亡爆炸攻击 × 150%,14,5,单体 + 溅射,icon_skill_si_wang_zu_zhou,SKILL_SiWangZuZhou,SK020.png,爆炸半径约 80px
