# monster_stats：怪物数值与出场（monsterChapter=素材章 1~8）
id,monsterChapter,spriteIndex,name,minWave,isBoss,unlockClearCount,baseHp,baseAtk,baseAtkSpeed,attackRange,moveSpeed,baseGold,exp,spriteScale,baseMagAtk,baseMagDef,note
jungle_307,3,7,Jungle 07,2,0,2,27,5.7,1.5,1.5,1.1,2,7,1.0,5.7,,Jungle-07
jungle_308,3,8,Jungle 08,2,0,2,43.9,4.4,1.5,1.5,1.1,2,7,1.0,4.4,,Jungle-08
jungle_309,3,9,Jungle 09,2,0,4,43.9,4.4,1.5,1.5,1.1,2,7,1.0,4.4,,Jungle-09
jungle_310,3,10,Jungle 10,2,0,4,30.4,5.2,1.5,1.5,1.1,2,7,1.0,5.2,,Jungle-10
jungle_311,3,11,Jungle BossA,9,1,0,1725,28,1.0,4.0,0.9,20,100,1.0,28,,Jungle-BossA
jungle_312,3,12,Jungle BossB,9,1,0,1275,30,1.0,4.0,0.9,20,100,1.0,30,,Jungle-BossB
sea_501,5,1,潮汐虾兵,0,0,0,65.0,6.0,1.5,1.5,1.1,2,11,1.0,6.0,,Sea-01
sea_502,5,2,深渊水母,0,0,0,45.0,7.0,1.5,1.5,1.1,3,13,1.0,7.0,,Sea-02
sea_503,5,3,遗迹海卫,1,0,0,65.0,6.0,1.5,1.5,1.1,3,15,1.0,6.0,,Sea-03
sea_504,5,4,深蓝海魔,9,0,0,76.5,9.4,1.5,1.5,1.1,3,17,1.5,9.4,,Sea-04
sea_505,5,5,Sea 05,2,0,0,53.6,5.4,1.5,1.5,1.1,2,8,1.0,5.4,,Sea-05
sea_506,5,6,Sea 06,2,0,2,53.6,5.4,1.5,1.5,1.1,2,8,1.0,5.4,,Sea-06
sea_507,5,7,Sea 07,2,0,2,53.6,5.4,1.5,1.5,1.1,2,8,1.0,5.4,,Sea-07
sea_508,5,8,Sea 08,2,0,2,37.1,6.4,1.5,1.5,1.1,2,8,1.0,6.4,,Sea-08
sea_509,5,9,Sea 09,2,0,4,53.6,5.4,1.5,1.5,1.1,2,8,1.0,5.4,,Sea-09
sea_510,5,10,Sea 10,2,0,4,53.6,5.4,1.5,1.5,1.1,2,8,1.0,5.4,,Sea-10
sea_511,5,11,Sea BossA,9,1,0,1275,28,1.0,4.0,0.9,20,100,1.0,28,,Sea-BossA
sea_512,5,12,Sea BossB,9,1,0,1275,30,1.0,4.0,0.9,20,100,1.0,30,,Sea-BossB
forest_101,1,1,走路菇,0,0,0,38.1,8.6,1.5,1.5,1.1,3,14,1.0,8.6,,Forest-01
forest_102,1,2,毒伞菇,0,0,0,26.4,10.2,1.5,1.5,1.1,3,16,1.0,10.2,,Forest-02
forest_103,1,3,树精守卫,1,0,0,38.1,8.6,1.5,1.5,1.1,4,18,1.0,8.6,,Forest-03
forest_104,1,4,暮影森主,9,0,0,44.9,13.7,1.5,1.5,1.1,4,20,1.5,13.7,,Forest-04
forest_105,1,5,Forest 05,2,0,0,31.5,7.8,1.5,1.5,1.1,2,9,1.0,7.8,,Forest-05
forest_106,1,6,Forest 06,2,0,2,21.8,9.2,1.5,1.5,1.1,2,9,1.0,9.2,,Forest-06
forest_107,1,7,Forest 07,2,0,2,31.5,7.8,1.5,1.5,1.1,2,9,1.0,7.8,,Forest-07
forest_108,1,8,Forest 08,2,0,2,19.4,10,1.5,1.5,1.1,2,9,1.0,10,,Forest-08
forest_109,1,9,Forest 09,2,0,4,31.5,7.8,1.5,1.5,1.1,2,9,1.0,7.8,,Forest-09
forest_110,1,10,Forest 10,2,0,4,31.5,7.8,1.5,1.5,1.1,2,9,1.0,7.8,,Forest-10
forest_111,1,11,Forest BossA,9,1,0,400,28,1.0,4.0,0.9,20,100,1.0,28,,Forest-BossA
forest_112,1,12,Forest BossB,9,1,0,525,30,1.0,4.0,0.9,20,100,1.0,30,,Forest-BossB
field_401,4,1,原野匪徒,0,0,0,86.2,7.6,1.5,1.5,1.1,3,17,1.0,7.6,,Field-01
field_402,4,2,晨曦游隼,0,0,0,59.6,9,1.5,1.5,1.1,4,19,1.0,9,,Field-02
field_403,4,3,重装巡卫,1,0,0,53.0,9.8,1.5,1.5,1.1,4,21,1.0,9.8,,Field-03
field_404,4,4,原野巨兽,9,0,0,164.9,9.4,1.5,1.5,1.1,4,23,1.5,9.4,,Field-04
field_405,4,5,Field 05,2,0,0,49.3,8.1,1.5,1.5,1.1,2,10,1.0,8.1,,Field-05
field_406,4,6,Field 06,2,0,2,71.2,6.9,1.5,1.5,1.1,2,10,1.0,6.9,,Field-06
field_407,4,7,Field 07,2,0,2,43.8,8.8,1.5,1.5,1.1,2,10,1.0,8.8,,Field-07
field_408,4,8,Field 08,2,0,2,71.2,6.9,1.5,1.5,1.1,2,10,1.0,6.9,,Field-08
field_409,4,9,Field 09,2,0,4,71.2,6.9,1.5,1.5,1.1,2,10,1.0,6.9,,Field-09
field_410,4,10,Field 10,2,0,4,49.3,8.1,1.5,1.5,1.1,2,10,1.0,8.1,,Field-10
field_411,4,11,Field BossA,9,1,0,1725,28,1.0,4.0,0.9,20,100,1.0,28,,Field-BossA
field_412,4,12,Field BossB,9,1,0,1725,30,1.0,4.0,0.9,20,100,1.0,30,,Field-BossB
cave_601,6,1,岩穴蝙蝠,0,0,0,97.4,8.4,1.5,1.5,1.1,4,20,1.0,8.4,,Cave-01
cave_602,6,2,深窟矿奴,0,0,0,97.4,8.4,1.5,1.5,1.1,4,22,1.0,8.4,,Cave-02
cave_603,6,3,石甲甲虫,1,0,0,67.5,10,1.5,1.5,1.1,5,24,1.0,10,,Cave-03
cave_604,6,4,岩窟领主,9,0,0,114.7,13.4,1.5,1.5,1.1,5,26,1.5,13.4,,Cave-04
cave_605,6,5,Cave 05,2,0,0,80.5,7.7,1.5,1.5,1.1,2,11,1.0,7.7,,Cave-05
cave_606,6,6,Cave 06,2,0,2,80.5,7.7,1.5,1.5,1.1,2,11,1.0,7.7,,Cave-06
cave_607,6,7,Cave 07,2,0,2,55.7,9.1,1.5,1.5,1.1,2,11,1.0,9.1,,Cave-07
cave_608,6,8,Cave 08,2,0,2,49.5,9.8,1.5,1.5,1.1,2,11,1.0,9.8,,Cave-08
cave_609,6,9,Cave 09,2,0,4,80.5,7.7,1.5,1.5,1.1,2,11,1.0,7.7,,Cave-09
cave_610,6,10,Cave 10,2,0,4,55.7,9.1,1.5,1.5,1.1,2,11,1.0,9.1,,Cave-10
cave_611,6,11,Cave BossA,9,1,0,1725,28,1.0,4.0,0.9,20,100,1.0,28,,Cave-BossA
cave_612,6,12,Cave BossB,9,1,0,1275,30,1.0,4.0,0.9,20,100,1.0,30,,Cave-BossB
devil_701,7,1,炼狱小鬼,0,0,0,109.5,9.4,1.5,1.5,1.1,4,23,1.0,9.4,,Devil-01
devil_702,7,2,炎魔射手,0,0,0,109.5,9.4,1.5,1.5,1.1,5,25,1.0,9.4,,Devil-02
devil_703,7,3,赤焰卫士,1,0,0,75.8,11.2,1.5,1.5,1.1,5,27,1.0,11.2,,Devil-03
devil_704,7,4,炼狱魔君,9,0,0,209.6,11.7,1.5,1.5,1.1,5,29,1.5,11.7,,Devil-04
devil_705,7,5,Devil 05,2,0,0,55.7,10.9,1.5,1.5,1.1,2,12,1.0,10.9,,Devil-05
devil_706,7,6,Devil 06,2,0,2,90.5,8.6,1.5,1.5,1.1,2,12,1.0,8.6,,Devil-06
devil_707,7,7,Devil 07,2,0,2,90.5,8.6,1.5,1.5,1.1,2,12,1.0,8.6,,Devil-07
devil_708,7,8,Devil 08,2,0,2,62.6,10.1,1.5,1.5,1.1,2,12,1.0,10.1,,Devil-08
devil_709,7,9,Devil 09,2,0,4,55.7,10.9,1.5,1.5,1.1,2,12,1.0,10.9,,Devil-09
devil_710,7,10,Devil 10,2,0,4,62.6,10.1,1.5,1.5,1.1,2,12,1.0,10.1,,Devil-10
devil_711,7,11,Devil BossA,9,1,0,1725,28,1.0,4.0,0.9,20,100,1.0,28,,Devil-BossA
devil_712,7,12,Devil BossB,9,1,0,1275,30,1.0,4.0,0.9,20,100,1.0,30,,Devil-BossB
ice_801,8,1,雪球怪,0,0,0,118.7,10.5,1.5,1.5,1.1,5,26,1.0,10.5,,Ice-01
ice_802,8,2,冰晶幽灵,0,0,0,82.2,12.4,1.5,1.5,1.1,5,28,1.0,12.4,,Ice-02
ice_803,8,3,永霜卫兵,1,0,0,73,13.4,1.5,1.5,1.1,6,30,1.0,13.4,,Ice-03
ice_804,8,4,雪境冰龙,9,0,0,226.9,13,1.5,1.5,1.1,6,32,1.5,13,,Ice-04
ice_805,8,5,Ice 05,2,0,0,67.8,11.2,1.5,1.5,1.1,2,13,1.0,11.2,,Ice-05
ice_806,8,6,Ice 06,2,0,2,98,9.5,1.5,1.5,1.1,2,13,1.0,9.5,,Ice-06
ice_807,8,7,Ice 07,2,0,2,98,9.5,1.5,1.5,1.1,2,13,1.0,9.5,,Ice-07
ice_808,8,8,Ice 08,2,0,2,98,9.5,1.5,1.5,1.1,2,13,1.0,9.5,,Ice-08
ice_809,8,9,Ice 09,2,0,4,60.3,12.2,1.5,1.5,1.1,2,13,1.0,12.2,,Ice-09
ice_810,8,10,Ice 10,2,0,4,98,9.5,1.5,1.5,1.1,2,13,1.0,9.5,,Ice-10
ice_811,8,11,Ice BossA,9,1,0,1725,28,1.0,4.0,0.9,20,100,1.0,28,,Ice-BossA
ice_812,8,12,Ice BossB,9,1,0,1275,30,1.0,4.0,0.9,20,100,1.0,30,,Ice-BossB
